City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
204,Claudio,-20.4433,-44.7658,74.52,78,100,3.36,BR,overcast clouds
205,Padang,-0.9492,100.3543,75.25,89,100,4.29,ID,light rain
206,Ko Samui,9.5357,99.9357,80.56,73,23,2.21,TH,few clouds
207,Kerman,30.2832,57.0788,30.06,86,0,4.61,IR,clear sky
208,Soc Trang,9.6033,105.98,74.1,92,100,2.86,VN,overcast clouds
209,Cherskiy,68.75,161.3,-32.53,99,100,3.87,RU,overcast clouds
210,Sitka,57.0531,-135.33,38.64,88,99,7.38,US,overcast clouds
211,Winnemucca,40.973,-117.7357,39.25,70,0,6.91,US,clear sky
212,Mogadishu,2.0371,45.3438,77.86,78,34,21.39,SO,scattered clouds
213,Carnarvon,-24.8667,113.6333,74.34,74,0,25.7,AU,clear sky
214,Oum Hadjer,13.2954,19.6966,77.63,18,7,9.1,TD,clear sky
215,Isoka,-10.1606,32.6335,63.36,94,68,1.43,ZM,light rain
216,Salinas,36.6777,-121.6555,60.08,79,100,5.99,US,overcast clouds
217,Tigbao,12.5546,123.3389,74.71,94,100,11.03,PH,light rain
218,Tiksi,71.6872,128.8694,-32.35,98,100,8.12,RU,overcast clouds
219,Walvis Bay,-22.9575,14.5053,70.75,68,40,8.05,NA,scattered clouds
220,Hobbs,32.7026,-103.136,57.29,24,0,16.11,US,clear sky
221,Baillif,16.0202,-61.7463,81.9,64,8,11.07,GP,clear sky
222,Ust-Kuyga,70.0167,135.6,-32.73,99,100,2.28,RU,overcast clouds
223,Arlit,18.7369,7.3853,70.95,11,78,8.75,NE,broken clouds
224,Jiayuguan,39.8167,98.3,7.84,43,100,3.29,CN,overcast clouds
225,Isangel,-19.55,169.2667,75.74,79,44,9.8,VU,scattered clouds
226,Saint George,37.1041,-113.5841,48.43,56,0,0.0,US,clear sky
227,Cukai,4.25,103.4167,78.75,91,88,2.89,MY,overcast clouds
228,Lorengau,-2.0226,147.2712,81.81,76,92,11.12,PG,overcast clouds
229,Arraial Do Cabo,-22.9661,-42.0278,91.36,62,40,14.97,BR,scattered clouds
230,Havoysund,70.9963,24.6622,35.83,81,58,24.72,NO,broken clouds
231,Ewa Beach,21.3156,-158.0072,69.4,82,1,3.15,US,clear sky
232,Hendrina,-26.1588,29.7153,61.36,58,4,7.02,ZA,clear sky
233,Inhambane,-23.865,35.3833,82.38,78,20,9.22,MZ,few clouds
234,Marzuq,14.4,46.4667,62.08,75,87,7.0,YE,overcast clouds
235,Husavik,66.0449,-17.3389,13.5,93,77,8.32,IS,broken clouds
236,Port Blair,11.6667,92.75,78.84,83,40,2.3,IN,mist
237,Laguna,38.421,-121.4238,65.17,57,100,9.22,US,light rain
238,Faya,18.3851,42.4509,55.51,81,68,5.26,SA,broken clouds
239,Labytnangi,66.6572,66.4183,-8.99,99,97,4.32,RU,overcast clouds
240,Mandan,46.8267,-100.8896,18.81,84,20,18.41,US,few clouds
241,Atar,20.5169,-13.0499,79.18,13,0,10.47,MR,clear sky
242,Cleethorpes,53.5605,-0.0323,48.45,76,75,17.27,GB,broken clouds
243,Santiago,-33.4569,-70.6483,88.29,20,0,10.36,CL,clear sky
244,Grindavik,63.8424,-22.4338,28.87,64,0,19.57,IS,clear sky
245,Sovetskiy,61.3614,63.5842,16.75,87,99,10.65,RU,overcast clouds
246,Lexington,37.9887,-84.4777,36.72,83,100,6.91,US,overcast clouds
247,Carballo,43.213,-8.691,57.87,91,97,7.92,ES,overcast clouds
248,Kaitangata,-46.2817,169.8464,48.06,91,44,4.05,NZ,scattered clouds
249,Finnsnes,69.2296,17.9811,28.76,97,100,5.08,NO,overcast clouds
250,Constitucion,-35.3333,-72.4167,69.21,57,5,16.51,CL,clear sky
251,Ilulissat,69.2167,-51.1,-8.16,70,75,6.6,GL,broken clouds
252,Chuy,-33.6971,-53.4616,72.7,64,100,3.06,UY,overcast clouds
253,Mayo,38.8876,-76.5119,51.24,61,40,11.5,US,scattered clouds
254,Victoria,22.2855,114.1577,75.25,91,12,4.0,HK,few clouds
255,Sorland,67.667,12.6934,37.26,74,10,12.44,NO,clear sky
256,Lakatoro,-16.0999,167.4164,78.85,83,76,7.85,VU,broken clouds
257,Lodja,-3.4833,23.4333,70.0,87,76,2.24,CD,broken clouds
258,Petropavlovsk-Kamchatskiy,53.0452,158.6483,1.99,72,75,6.71,RU,broken clouds
259,Awjilah,29.1081,21.2869,59.49,59,48,9.84,LY,scattered clouds
260,Canutama,-6.5339,-64.3831,72.23,97,100,5.95,BR,overcast clouds
261,Hamilton,39.1834,-84.5333,36.23,83,100,11.99,US,moderate rain
262,Namibe,-15.1961,12.1522,75.13,79,96,10.74,AO,overcast clouds
263,Stornoway,58.2093,-6.3865,36.93,93,20,5.75,GB,few clouds
264,Porto Novo,6.4965,2.6036,84.02,69,29,9.46,BJ,scattered clouds
265,Sao Felix Do Xingu,-6.6447,-51.995,84.25,74,81,3.13,BR,broken clouds
266,Leh,34.1667,77.5833,10.4,73,98,4.79,IN,overcast clouds
267,Turayf,31.6725,38.6637,48.45,71,75,11.5,SA,broken clouds
268,Kijang,35.2442,129.2139,55.13,95,85,11.59,KR,light rain
269,Sisimiut,66.9395,-53.6735,8.29,79,99,16.87,GL,overcast clouds
270,Lae,-6.7221,146.9847,75.54,90,100,7.11,PG,overcast clouds
271,Asau,46.4333,26.4,31.28,84,83,3.83,RO,broken clouds
272,Galesong,-5.3166,119.3661,75.22,79,74,3.8,ID,broken clouds
273,Ngunguru,-35.6167,174.5,64.65,81,78,10.09,NZ,broken clouds
274,Kirakira,-10.4544,161.9205,78.31,87,100,7.9,SB,overcast clouds
275,Jaypur,18.85,82.5833,62.29,36,0,1.59,IN,clear sky
276,Vredendal,-31.6683,18.5012,70.03,56,55,16.53,ZA,broken clouds
277,Axim,4.8699,-2.2405,81.99,73,8,9.46,GH,clear sky
278,Zaragoza,41.6561,-0.8773,55.85,69,0,12.66,ES,clear sky
279,Salvador,13.8333,-88.9167,81.05,34,31,4.54,SV,scattered clouds
280,Praia,14.9215,-23.5087,79.34,53,20,18.41,CV,few clouds
281,Bulgan,48.8125,103.5347,-19.79,83,2,4.27,MN,clear sky
282,Lebedyn,50.5852,34.4849,23.95,90,67,7.87,UA,broken clouds
283,Yichang,30.7144,111.2847,50.56,86,100,1.99,CN,overcast clouds
284,Pitimbu,-7.4706,-34.8086,88.39,66,35,12.26,BR,scattered clouds
285,Kununurra,-15.7667,128.7333,76.98,94,40,3.44,AU,scattered clouds
