City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
166,Saint-Philippe,RE,78.39,broken clouds,-21.3585,55.7679,Le Baril
180,Namatanai,PG,77.95,light rain,-3.6667,152.4333,Namatanai Hotel
181,San Cristobal,VE,78.98,broken clouds,7.7669,-72.225,Terra Sur
183,Vao,NC,76.86,broken clouds,-22.6667,167.4833,Nataiwatch
184,Progreso,MX,75.11,scattered clouds,21.2833,-89.6667,Centro Vacacional Obrero CTM
186,Male,MV,80.55,broken clouds,4.1748,73.5089,Champa Central Hotel
188,Kalmunai,LK,75.29,broken clouds,7.4167,81.8167,Saji new food
205,Padang,ID,75.25,light rain,-0.9492,100.3543,losmen Surya
206,Ko Samui,TH,80.56,few clouds,9.5357,99.9357,Nathon Residence
212,Mogadishu,SO,77.86,scattered clouds,2.0371,45.3438,SYL Hotel
