City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
52,Fomboni,-12.28,43.7425,82.27,70,11,4.43,KM,2023-01-12 19:43:39
53,Bialystok,53.1333,23.15,40.98,93,99,8.01,PL,2023-01-12 19:39:51
54,Puerto Madryn,-42.7692,-65.0385,69.12,37,69,30.11,AR,2023-01-12 19:40:07
55,Bambous Virieux,-20.3428,57.7575,77.25,83,75,3.44,MU,2023-01-12 19:43:39
56,Luderitz,-26.6481,15.1594,66.74,73,49,19.01,NA,2023-01-12 19:43:40
57,Longyan,25.1072,117.0225,63.36,99,100,3.06,CN,2023-01-12 19:43:40
58,Spornoye,50.8448,37.2913,16.7,95,100,10.58,RU,2023-01-12 19:43:40
59,Yakovlevka,44.425,133.4772,25.43,89,100,3.71,RU,2023-01-12 19:43:41
60,Moussoro,13.6408,16.4901,67.21,17,9,11.97,TD,2023-01-12 19:43:41
61,Bengkulu,-3.8004,102.2655,75.13,87,100,3.29,ID,2023-01-12 19:43:41
62,Hilo,19.7297,-155.09,82.27,58,20,6.91,US,2023-01-12 19:43:42
63,Ocos,14.5094,-92.1933,83.19,67,0,9.1,GT,2023-01-12 19:43:42
64,Pacifica,37.6138,-122.4869,66.81,74,0,10.36,US,2023-01-12 19:43:28
65,Saint George,37.1041,-113.5841,52.43,52,0,1.99,US,2023-01-12 19:39:14
66,Khatanga,71.9667,102.5,-47.34,100,100,3.74,RU,2023-01-12 19:43:42
67,Kavaratti,10.5669,72.642,81.03,64,100,9.15,IN,2023-01-12 19:43:43
68,Thinadhoo,0.5333,72.9333,80.13,67,35,11.92,MV,2023-01-12 19:43:43
69,Kafanchan,9.5833,8.3,70.23,21,23,6.22,NG,2023-01-12 19:43:43
70,Kutum,14.2,24.6667,58.75,27,35,8.9,SD,2023-01-12 19:43:44
71,Sept-Iles,50.2001,-66.3821,16.23,71,75,2.3,CA,2023-01-12 19:43:44
72,Velsk,61.0701,42.0983,18.0,88,100,12.03,RU,2023-01-12 19:43:44
73,Kayan,16.9056,96.5631,71.74,71,0,4.61,MM,2023-01-12 19:43:44
74,Adeje,28.1227,-16.726,65.32,77,20,21.85,ES,2023-01-12 19:43:45
75,Igarka,67.4667,86.5833,-36.33,96,70,6.6,RU,2023-01-12 19:43:45
76,Laguna,38.421,-121.4238,66.09,64,0,9.22,US,2023-01-12 19:43:45
77,Vila Velha,-20.3297,-40.2925,84.15,83,20,18.41,BR,2023-01-12 19:43:45
78,Leningradskiy,69.3833,178.4167,-10.25,99,100,5.19,RU,2023-01-12 19:43:46
79,Namibe,-15.1961,12.1522,72.91,79,100,6.02,AO,2023-01-12 19:43:46
